EXT         FILES      LINES       CODE    COMMENT      BLANK        BYTES        AVG  LARGEST
---         -----      -----       ----    -------      -----        -----        ---  -------
kt            629     161930     138270       8322      15338      6356214      257.4  /home/andrew/code/Cognotik/stdtools/src/main/kotlin/com/simiacryptus/cognotik/util/DocProcessor.kt (2212)
md            246      53831      43323        181      10327      2175257      218.8  /home/andrew/code/Cognotik/desktop/src/main/resources/apps/omega/transcript/GenerateImage_20260517114051.md (3272)
js            196      27779      22974       2785       2020      8577857      141.7  /home/andrew/code/Cognotik/desktop/src/main/resources/apps/webapp-factory/app.js (2370)
json           41      24238      24238          0          0      1163588      591.2  /home/andrew/code/Cognotik/webapp/package-lock.json (22162)
css            52      15424      13296        494       1634       426877      296.6  /home/andrew/code/Cognotik/desktop/src/main/resources/welcome/welcome.css (1948)
html           21       8871       8259        233        379      1059695      422.4  /home/andrew/code/Cognotik/webui/src/main/resources/com/simiacryptus/cognotik/webui/servlet/login.html (804)
ts             30       3796       3233        151        412       120879      126.5  /home/andrew/code/Cognotik/webapp/src/styles/GlobalStyles.ts (731)
yml             5        744        649          2         93        22152      148.8  /home/andrew/code/Cognotik/.github/workflows/build.yml (660)
sh              9        703        505        116         82        24018       78.1  /home/andrew/code/Cognotik/docs/reports/loc.sh (348)
xml            11        533        489         15         29        28696       48.5  /home/andrew/code/Cognotik/intellij/src/main/resources/META-INF/plugin.xml (267)
java            5        374        326          3         45        15425       74.8  /home/andrew/code/Cognotik/tool/src/main/java/com/simiacryptus/CodeImplementer.java (117)
py              1        121         91         10         20         3444      121.0  /home/andrew/code/Cognotik/aws/search_lambda/lambda/lambda_function.py (121)

TOTALS: files=1246 lines=298344 code=255653 comment=12312 blank=30379 bytes=19974102
