Silence Segmentation Report: Comic_Generator
============================================================
Duration:       208.3s
VAD Backend:    silero

Summary:
  Speech:     145.1s  ( 69.7%)  [43 segments]
  Silence:      0.0s  (  0.0%)  [0 segments]
  Noise:       62.7s  ( 30.1%)  [41 segments]

   #  Type          Start        End   Duration   RMS dB
-------------------------------------------------------
   1  speech       0.034s     7.934s     7.900s   -19.7
   2  noise        7.934s    10.178s     2.244s   -27.8
   3  speech      10.178s    13.438s     3.260s   -18.0
   4  noise       13.438s    14.914s     1.476s   -20.5
   5  speech      14.914s    17.118s     2.204s   -16.1
   6  speech      17.602s    18.718s     1.116s   -17.7
   7  noise       18.718s    19.554s     0.836s   -19.6
   8  speech      19.554s    25.694s     6.140s   -15.1
   9  noise       25.694s    27.202s     1.508s   -24.9
  10  speech      27.202s    31.678s     4.476s   -18.0
  11  noise       31.678s    33.474s     1.796s   -24.9
  12  speech      33.474s    34.974s     1.500s   -20.5
  13  noise       34.974s    35.586s     0.612s   -25.7
  14  speech      35.586s    37.182s     1.596s   -20.9
  15  noise       37.182s    38.082s     0.900s   -26.6
  16  speech      38.082s    39.614s     1.532s   -16.7
  17  noise       39.614s    41.346s     1.732s   -25.5
  18  speech      41.346s    42.846s     1.500s   -20.5
  19  noise       42.846s    44.930s     2.084s   -25.2
  20  speech      44.930s    53.278s     8.348s   -19.0
  21  noise       53.278s    54.754s     1.476s   -21.5
  22  speech      54.754s    56.606s     1.852s   -18.0
  23  noise       56.606s    57.730s     1.124s   -18.8
  24  speech      57.730s    76.094s    18.364s   -16.6
  25  noise       76.094s    76.898s     0.804s   -21.1
  26  speech      76.898s    86.622s     9.724s   -18.5
  27  noise       86.622s    88.258s     1.636s   -20.7
  28  speech      88.258s    89.918s     1.660s   -20.6
  29  noise       89.918s    90.754s     0.836s   -21.2
  30  speech      90.754s    94.782s     4.028s   -17.1
  31  noise       94.782s    95.458s     0.676s   -23.9
  32  speech      95.458s    96.126s     0.668s   -16.5
  33  noise       96.126s    96.770s     0.644s   -16.6
  34  speech      96.770s    97.598s     0.828s   -17.0
  35  noise       97.598s    98.722s     1.124s   -26.1
  36  speech      98.722s   100.478s     1.756s   -17.6
  37  noise      100.478s   102.914s     2.436s   -25.7
  38  speech     102.914s   106.142s     3.228s   -16.1
  39  noise      106.142s   107.938s     1.796s   -10.5
  40  speech     107.938s   114.302s     6.364s   -14.8
  41  noise      114.302s   115.330s     1.028s   -24.9
  42  speech     115.330s   119.806s     4.476s   -16.6
  43  noise      119.806s   122.050s     2.244s   -26.0
  44  speech     122.050s   124.862s     2.812s   -17.4
  45  noise      124.862s   125.986s     1.124s   -25.2
  46  speech     125.986s   130.142s     4.156s   -15.8
  47  noise      130.142s   130.978s     0.836s   -24.3
  48  speech     130.978s   133.758s     2.780s   -14.3
  49  noise      133.758s   134.562s     0.804s   -22.3
  50  speech     134.562s   138.718s     4.156s   -16.9
  51  noise      138.718s   139.970s     1.252s   -27.1
  52  speech     139.970s   140.510s     0.540s   -21.9
  53  noise      140.510s   141.730s     1.220s   -25.6
  54  speech     141.730s   146.558s     4.828s   -16.4
  55  noise      146.558s   147.362s     0.804s   -25.4
  56  speech     147.362s   149.470s     2.108s   -15.4
  57  noise      149.470s   152.130s     2.660s   -27.2
  58  speech     152.130s   155.422s     3.292s   -16.9
  59  noise      155.422s   156.738s     1.316s   -27.0
  60  speech     156.738s   159.198s     2.460s   -19.4
  61  noise      159.198s   160.034s     0.836s   -27.5
  62  speech     160.034s   163.294s     3.260s   -19.1
  63  noise      163.294s   164.066s     0.772s   -19.5
  64  speech     164.066s   165.630s     1.564s   -15.2
  65  noise      165.630s   166.242s     0.612s   -15.2
  66  speech     166.242s   166.782s     0.540s   -20.8
  67  noise      166.782s   170.530s     3.748s   -24.3
  68  speech     170.530s   172.222s     1.692s   -19.7
  69  noise      172.222s   173.378s     1.156s   -25.9
  70  speech     173.378s   173.726s     0.348s   -19.5
  71  noise      173.726s   182.018s     8.292s   -14.1
  72  speech     182.018s   182.750s     0.732s   -16.9
  73  noise      182.750s   183.746s     0.996s   -26.3
  74  speech     183.746s   189.758s     6.012s   -19.1
  75  noise      189.758s   191.010s     1.252s   -25.5
  76  speech     191.010s   191.838s     0.828s   -19.0
  77  noise      191.838s   192.482s     0.644s   -26.5
  78  speech     192.482s   197.150s     4.668s   -20.5
  79  noise      197.150s   197.666s     0.516s   -23.8
  80  speech     197.666s   199.998s     2.332s   -20.3
  81  noise      199.998s   204.130s     4.132s   -19.2
  82  speech     204.130s   205.278s     1.148s   -18.2
  83  noise      205.278s   205.954s     0.676s   -27.5
  84  speech     205.954s   208.256s     2.302s   -14.1
