Silence Segmentation Report: Philosophical_Calculator
============================================================
Duration:       419.1s
VAD Backend:    silero

Summary:
  Speech:     298.9s  ( 71.3%)  [63 segments]
  Silence:      0.0s  (  0.0%)  [0 segments]
  Noise:      118.8s  ( 28.3%)  [60 segments]

   #  Type          Start        End   Duration   RMS dB
-------------------------------------------------------
   1  noise        0.000s     0.866s     0.866s   -23.8
   2  speech       0.866s     3.742s     2.876s   -18.5
   3  noise        3.742s     5.282s     1.540s   -29.6
   4  speech       5.282s    10.462s     5.180s   -18.1
   5  noise       10.462s    11.490s     1.028s   -19.5
   6  speech      11.490s    13.982s     2.492s   -17.7
   7  noise       13.982s    16.354s     2.372s   -17.6
   8  speech      16.354s    16.926s     0.572s   -15.7
   9  noise       16.926s    19.266s     2.340s   -18.8
  10  speech      19.266s    21.502s     2.236s   -17.7
  11  noise       21.502s    22.402s     0.900s   -27.3
  12  speech      22.402s    26.046s     3.644s   -20.8
  13  noise       26.046s    27.650s     1.604s   -18.5
  14  speech      27.650s    36.318s     8.668s   -16.7
  15  noise       36.318s    38.210s     1.892s   -24.9
  16  speech      38.210s    47.358s     9.148s   -19.4
  17  noise       47.358s    48.066s     0.708s   -25.0
  18  speech      48.066s    49.918s     1.852s   -16.6
  19  noise       49.918s    50.530s     0.612s   -25.7
  20  speech      50.530s    52.222s     1.692s   -22.2
  21  speech      52.706s    54.270s     1.564s   -17.2
  22  noise       54.270s    55.970s     1.700s   -27.1
  23  speech      55.970s    63.966s     7.996s   -20.4
  24  noise       63.966s    65.602s     1.636s   -26.3
  25  speech      65.602s    71.934s     6.332s   -20.6
  26  noise       71.934s    74.274s     2.340s   -24.6
  27  speech      74.274s    75.134s     0.860s   -18.5
  28  noise       75.134s    76.514s     1.380s   -29.3
  29  speech      76.514s    79.358s     2.844s   -20.3
  30  noise       79.358s    80.130s     0.772s   -24.9
  31  speech      80.130s    82.430s     2.300s   -20.3
  32  noise       82.430s    83.746s     1.316s   -26.8
  33  speech      83.746s   108.318s    24.572s   -18.7
  34  noise      108.318s   109.858s     1.540s   -26.0
  35  speech     109.858s   119.710s     9.852s   -18.5
  36  noise      119.710s   121.698s     1.988s   -19.4
  37  speech     121.698s   125.822s     4.124s   -18.2
  38  noise      125.822s   126.722s     0.900s   -26.5
  39  speech     126.722s   133.470s     6.748s   -20.0
  40  noise      133.470s   136.546s     3.076s   -22.5
  41  speech     136.546s   139.102s     2.556s   -19.5
  42  noise      139.102s   139.714s     0.612s   -25.4
  43  speech     139.714s   140.446s     0.732s   -21.6
  44  noise      140.446s   141.250s     0.804s   -26.8
  45  speech     141.250s   142.078s     0.828s   -20.5
  46  noise      142.078s   144.002s     1.924s   -25.3
  47  speech     144.002s   157.950s    13.948s   -19.0
  48  noise      157.950s   159.778s     1.828s   -23.8
  49  speech     159.778s   167.422s     7.644s   -19.0
  50  noise      167.422s   169.186s     1.764s   -24.7
  51  speech     169.186s   177.726s     8.540s   -18.9
  52  speech     178.210s   182.078s     3.868s   -19.4
  53  noise      182.078s   187.522s     5.444s   -20.3
  54  speech     187.522s   190.270s     2.748s   -17.0
  55  noise      190.270s   190.882s     0.612s   -27.6
  56  speech     190.882s   201.854s    10.972s   -17.9
  57  noise      201.854s   203.810s     1.956s   -24.6
  58  speech     203.810s   206.590s     2.780s   -20.9
  59  noise      206.590s   207.106s     0.516s   -24.8
  60  speech     207.106s   210.974s     3.868s   -19.5
  61  noise      210.974s   211.810s     0.836s   -25.4
  62  speech     211.810s   223.518s    11.708s   -20.6
  63  noise      223.518s   224.450s     0.932s   -26.2
  64  speech     224.450s   229.566s     5.116s   -20.7
  65  noise      229.566s   230.498s     0.932s   -24.5
  66  speech     230.498s   232.574s     2.076s   -21.2
  67  noise      232.574s   237.186s     4.612s   -20.9
  68  speech     237.186s   240.158s     2.972s   -19.4
  69  noise      240.158s   240.674s     0.516s   -22.2
  70  speech     240.674s   244.894s     4.220s   -18.4
  71  noise      244.894s   245.922s     1.028s   -23.5
  72  speech     245.922s   251.806s     5.884s   -19.0
  73  noise      251.806s   255.490s     3.684s   -19.1
  74  speech     255.490s   255.838s     0.348s   -17.6
  75  noise      255.838s   256.898s     1.060s   -20.3
  76  speech     256.898s   261.598s     4.700s   -17.1
  77  noise      261.598s   262.530s     0.932s   -20.5
