Silence Segmentation Report: Philosophical_Calculator
============================================================
Duration:       523.3s
VAD Backend:    silero

Summary:
  Speech:     269.2s  ( 51.4%)  [73 segments]
  Silence:    253.7s  ( 48.5%)  [73 segments]
  Noise:        0.0s  (  0.0%)  [0 segments]

   #  Type          Start        End   Duration   RMS dB
-------------------------------------------------------
   1  silence      0.000s     6.434s     6.434s   -51.7
   2  speech       6.434s     9.214s     2.780s   -46.7
   3  silence      9.214s    10.786s     1.572s   -59.4
   4  speech      10.786s    15.934s     5.148s   -47.7
   5  silence     15.934s    16.994s     1.060s   -48.5
   6  speech      16.994s    19.102s     2.108s   -46.0
   7  silence     19.102s    21.538s     2.436s   -47.2
   8  speech      21.538s    22.494s     0.956s   -47.3
   9  silence     22.494s    24.770s     2.276s   -49.3
  10  speech      24.770s    27.006s     2.236s   -48.0
  11  silence     27.006s    28.034s     1.028s   -58.0
  12  speech      28.034s    31.518s     3.484s   -51.5
  13  silence     31.518s    33.122s     1.604s   -50.2
  14  speech      33.122s    41.822s     8.700s   -46.7
  15  silence     41.822s    43.650s     1.828s   -56.7
  16  speech      43.650s    52.734s     9.084s   -50.4
  17  silence     52.734s    53.570s     0.836s   -56.5
  18  speech      53.570s    55.358s     1.788s   -48.0
  19  silence     55.358s    56.066s     0.708s   -57.6
  20  speech      56.066s    57.726s     1.660s   -54.2
  21  speech      58.210s    59.710s     1.500s   -48.7
  22  silence     59.710s    61.442s     1.732s   -58.9
  23  speech      61.442s    69.374s     7.932s   -52.0
  24  silence     69.374s    71.106s     1.732s   -59.1
  25  speech      71.106s    77.374s     6.268s   -52.7
  26  silence     77.374s    79.810s     2.436s   -58.8
  27  speech      79.810s    80.638s     0.828s   -50.9
  28  silence     80.638s    82.018s     1.380s   -61.8
  29  speech      82.018s    84.862s     2.844s   -52.8
  30  silence     84.862s    85.634s     0.772s   -57.5
  31  speech      85.634s    87.902s     2.268s   -52.8
  32  silence     87.902s    89.250s     1.348s   -59.4
  33  speech      89.250s    94.238s     4.988s   -49.2
  34  silence     94.238s    94.818s     0.580s   -52.1
  35  speech      94.818s   103.646s     8.828s   -50.5
  36  silence    103.646s   104.194s     0.548s   -58.8
  37  speech     104.194s   113.566s     9.372s   -52.5
  38  silence    113.566s   115.362s     1.796s   -59.1
  39  speech     115.362s   125.150s     9.788s   -50.4
  40  silence    125.150s   127.202s     2.052s   -52.5
  41  speech     127.202s   131.198s     3.996s   -51.0
  42  silence    131.198s   132.226s     1.028s   -59.2
  43  speech     132.226s   138.846s     6.620s   -52.9
  44  silence    138.846s   146.914s     8.068s   -56.2
  45  speech     146.914s   152.542s     5.628s   -50.5
  46  silence    152.542s   153.250s     0.708s   -58.5
  47  speech     153.250s   153.758s     0.508s   -54.4
  48  silence    153.758s   154.882s     1.124s   -58.8
  49  speech     154.882s   155.486s     0.604s   -53.9
  50  silence    155.486s   157.506s     2.020s   -59.2
  51  speech     157.506s   159.422s     1.916s   -51.2
  52  silence    159.422s   160.386s     0.964s   -51.1
  53  speech     160.386s   171.390s    11.004s   -52.0
  54  silence    171.390s   173.282s     1.892s   -58.0
  55  speech     173.282s   180.894s     7.612s   -52.3
  56  silence    180.894s   182.690s     1.796s   -59.0
  57  speech     182.690s   191.198s     8.508s   -52.3
  58  silence    191.198s   191.746s     0.548s   -59.8
  59  speech     191.746s   195.166s     3.420s   -52.6
  60  silence    195.166s   201.058s     5.892s   -56.2
  61  speech     201.058s   203.710s     2.652s   -50.6
  62  silence    203.710s   204.418s     0.708s   -61.2
  63  speech     204.418s   210.238s     5.820s   -49.6
  64  silence    210.238s   210.882s     0.644s   -58.5
  65  speech     210.882s   215.262s     4.380s   -53.6
  66  silence    215.262s   217.506s     2.244s   -58.9
  67  speech     217.506s   219.614s     2.108s   -54.4
  68  silence    219.614s   220.642s     1.028s   -57.5
  69  speech     220.642s   224.158s     3.516s   -53.1
  70  silence    224.158s   226.050s     1.892s   -56.3
  71  speech     226.050s   226.526s     0.476s   -54.0
  72  silence    226.526s   234.626s     8.100s   -54.6
  73  speech     234.626s   236.030s     1.404s   -53.3
  74  silence    236.030s   238.146s     2.116s   -57.8
  75  speech     238.146s   239.358s     1.212s   -53.3
  76  silence    239.358s   251.330s    11.972s   -55.8
  77  speech     251.330s   252.446s     1.116s   -54.2
  78  silence    252.446s   255.426s     2.980s   -52.2
  79  speech     255.426s   256.606s     1.180s   -51.6
  80  silence    256.606s   257.154s     0.548s   -57.4
  81  speech     257.154s   258.238s     1.084s   -52.8
  82  silence    258.238s   259.458s     1.220s   -57.6
  83  speech     259.458s   261.214s     1.756s   -53.0
  84  silence    261.214s   261.954s     0.740s   -56.0
  85  speech     261.954s   265.214s     3.260s   -52.5
  86  silence    265.214s   269.506s     4.292s   -53.5
  87  speech     269.506s   271.070s     1.564s   -48.6
