Silence Segmentation Report: WebApp_Factory
============================================================
Duration:       340.8s
VAD Backend:    silero

Summary:
  Speech:     170.0s  ( 49.9%)  [59 segments]
  Silence:    170.3s  ( 50.0%)  [59 segments]
  Noise:        0.0s  (  0.0%)  [0 segments]

   #  Type          Start        End   Duration   RMS dB
-------------------------------------------------------
   1  silence      0.000s     4.418s     4.418s   -53.4
   2  speech       4.418s     8.798s     4.380s   -48.4
   3  silence      8.798s    10.018s     1.220s   -55.0
   4  speech      10.018s    16.990s     6.972s   -47.4
   5  silence     16.990s    17.602s     0.612s   -48.5
   6  speech      17.602s    18.078s     0.476s   -47.9
   7  silence     18.078s    22.786s     4.708s   -49.6
   8  speech      22.786s    24.478s     1.692s   -46.6
   9  silence     24.478s    25.410s     0.932s   -50.6
  10  speech      25.410s    26.590s     1.180s   -48.5
  11  silence     26.590s    27.938s     1.348s   -53.3
  12  speech      27.938s    33.822s     5.884s   -48.2
  13  silence     33.822s    34.690s     0.868s   -53.1
  14  speech      34.690s    38.750s     4.060s   -48.8
  15  silence     38.750s    39.618s     0.868s   -51.8
  16  speech      39.618s    44.030s     4.412s   -51.5
  17  silence     44.030s    44.738s     0.708s   -52.8
  18  speech      44.738s    48.350s     3.612s   -48.8
  19  silence     48.350s    48.898s     0.548s   -52.1
  20  speech      48.898s    53.374s     4.476s   -49.2
  21  silence     53.374s    54.114s     0.740s   -51.3
  22  speech      54.114s    57.470s     3.356s   -49.4
  23  silence     57.470s    58.530s     1.060s   -51.7
  24  speech      58.530s    62.558s     4.028s   -49.7
  25  silence     62.558s    63.586s     1.028s   -51.8
  26  speech      63.586s    67.134s     3.548s   -49.5
  27  silence     67.134s    67.842s     0.708s   -51.2
  28  speech      67.842s    68.990s     1.148s   -50.3
  29  silence     68.990s    78.434s     9.444s   -51.9
  30  speech      78.434s    84.894s     6.460s   -48.1
  31  silence     84.894s    85.890s     0.996s   -47.1
  32  speech      85.890s    88.222s     2.332s   -49.3
  33  silence     88.222s    88.898s     0.676s   -51.8
  34  speech      88.898s    90.366s     1.468s   -50.1
  35  silence     90.366s    93.314s     2.948s   -52.1
  36  speech      93.314s    96.030s     2.716s   -49.9
  37  speech      96.514s    97.534s     1.020s   -49.5
  38  silence     97.534s   125.346s    27.812s   -50.2
  39  speech     125.346s   132.350s     7.004s   -48.5
  40  silence    132.350s   137.698s     5.348s   -54.1
  41  speech     137.698s   143.518s     5.820s   -52.3
  42  silence    143.518s   144.546s     1.028s   -55.1
  43  speech     144.546s   148.126s     3.580s   -52.4
  44  silence    148.126s   172.994s    24.868s   -51.9
  45  speech     172.994s   174.846s     1.852s   -50.4
  46  silence    174.846s   175.458s     0.612s   -57.1
  47  speech     175.458s   176.574s     1.116s   -49.8
  48  silence    176.574s   177.250s     0.676s   -56.8
  49  speech     177.250s   177.790s     0.540s   -51.5
  50  silence    177.790s   194.594s    16.804s   -48.4
  51  speech     194.594s   197.918s     3.324s   -48.1
  52  silence    197.918s   198.562s     0.644s   -54.2
  53  speech     198.562s   199.422s     0.860s   -51.6
  54  silence    199.422s   200.226s     0.804s   -52.9
  55  speech     200.226s   203.230s     3.004s   -48.5
  56  silence    203.230s   204.930s     1.700s   -54.9
  57  speech     204.930s   218.750s    13.820s   -48.5
  58  silence    218.750s   222.114s     3.364s   -47.0
  59  speech     222.114s   223.838s     1.724s   -48.2
  60  silence    223.838s   233.058s     9.220s   -55.0
  61  speech     233.058s   233.822s     0.764s   -50.6
  62  silence    233.822s   234.594s     0.772s   -50.8
  63  speech     234.594s   235.358s     0.764s   -50.7
  64  silence    235.358s   237.250s     1.892s   -54.9
  65  speech     237.250s   239.038s     1.788s   -51.9
  66  silence    239.038s   242.594s     3.556s   -54.6
  67  speech     242.594s   245.758s     3.164s   -47.7
  68  silence    245.758s   247.010s     1.252s   -54.4
  69  speech     247.010s   247.518s     0.508s   -49.5
  70  silence    247.518s   248.226s     0.708s   -51.8
  71  speech     248.226s   248.958s     0.732s   -50.8
  72  silence    248.958s   249.538s     0.580s   -52.4
  73  speech     249.538s   255.134s     5.596s   -49.0
  74  silence    255.134s   255.682s     0.548s   -52.9
  75  speech     255.682s   256.350s     0.668s   -49.0
  76  silence    256.350s   257.090s     0.740s   -49.6
  77  speech     257.090s   261.790s     4.700s   -49.0
  78  silence    261.790s   263.746s     1.956s   -52.7
  79  speech     263.746s   264.062s     0.316s   -50.7
  80  silence    264.062s   265.858s     1.796s   -53.0
  81  speech     265.858s   267.550s     1.692s   -45.6
  82  silence    267.550s   268.450s     0.900s   -50.1
  83  speech     268.450s   271.390s     2.940s   -46.2
  84  silence    271.390s   272.962s     1.572s   -52.9
  85  speech     272.962s   273.662s     0.700s   -45.3
  86  silence    273.662s   276.034s     2.372s   -50.6
  87  speech     276.034s   277.790s     1.756s   -49.5
  88  silence    277.790s   278.498s     0.708s   -53.1
  89  speech     278.498s   279.006s     0.508s   -49.6
  90  silence    279.006s   280.258s     1.252s   -52.9
  91  speech     280.258s   282.750s     2.492s   -41.1
  92  silence    282.750s   283.298s     0.548s   -50.3
  93  speech     283.298s   284.446s     1.148s   -48.7
  94  silence    284.446s   286.146s     1.700s   -46.0
  95  speech     286.146s   288.318s     2.172s   -45.0
  96  silence    288.318s   296.098s     7.780s   -47.0
  97  speech     296.098s   302.110s     6.012s   -48.5
  98  silence    302.110s   303.586s     1.476s   -52.9
  99  speech     303.586s   306.750s     3.164s   -48.9
 100  silence    306.750s   308.546s     1.796s   -53.1
 101  speech     308.546s   310.078s     1.532s   -50.3
 102  silence    310.078s   311.106s     1.028s   -53.0
 103  speech     311.106s   315.166s     4.060s   -51.0
 104  silence    315.166s   315.778s     0.612s   -53.8
 105  speech     315.778s   316.862s     1.084s   -50.6
 106  silence    316.862s   317.666s     0.804s   -52.6
 107  speech     317.666s   318.590s     0.924s   -50.1
 108  silence    318.590s   319.362s     0.772s   -52.6
 109  speech     319.362s   319.934s     0.572s   -50.1
 110  silence    319.934s   321.378s     1.444s   -53.2
 111  speech     321.378s   326.558s     5.180s   -49.8
 112  silence    326.558s   327.682s     1.124s   -53.2
 113  speech     327.682s   329.854s     2.172s   -48.8
 114  silence    329.854s   331.234s     1.380s   -53.2
 115  speech     331.234s   336.638s     5.404s   -51.1
 116  silence    336.638s   337.794s     1.156s   -53.1
 117  speech     337.794s   339.422s     1.628s   -49.3
 118  silence    339.422s   340.757s     1.335s   -52.7
